Z100;ALBANIA
Z101;ANDORRA
Z102;AUSTRIA
Z103;BELGIO
Z104;BULGARIA
Z105;CECOSLOVACCHIA
Z106;CITTA' DEL VATICANO
Z107;DANIMARCA
Z108;FAER OER (ISOLE)
Z109;FINLANDIA
Z110;FRANCIA
Z111;GERMANIA REPUBBLICA DEMOCRATICA
Z112;GERMANIA
Z112;GERMANIA REPUBBLICA FEDERALE
Z113;GIBILTERRA
Z114;REGNO UNITO
Z115;GRECIA
Z116;IRLANDA
Z117;ISLANDA
Z118;IUGOSLAVIA
Z118;IUGOSLAVIA
Z118;IUGOSLAVIA
Z118;IUGOSLAVIA
Z119;LIECHTENSTEIN
Z120;LUSSEMBURGO
Z121;MALTA
Z122;MAN (ISOLA)
Z123;MONACO
Z124;NORMANNE (ISOLE)
Z125;NORVEGIA
Z126;PAESI BASSI
Z127;POLONIA
Z127;REPUBBLICA DI POLONIA
Z128;PORTOGALLO
Z129;ROMANIA
Z130;SAN MARINO
Z131;SPAGNA
Z132;SVEZIA
Z133;SVIZZERA
Z134;UNGHERIA
Z135;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE
Z135;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE
Z135;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE
Z135;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE
Z135;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE
Z135;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE
Z135;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE
Z135;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE
Z135;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE
Z135;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE
Z135;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE
Z136;GEORGIA
Z137;ARMENIA
Z138;UCRAINA
Z139;BIELORUSSIA
Z140;MOLDAVIA
Z141;AZERBAIGIAN
Z142;KIRGHIZISTAN
Z143;UZBEKISTAN
Z144;ESTONIA
Z145;LETTONIA
Z146;LITUANIA
Z147;TAGIKISTAN
Z148;MACEDONIA
Z149;CROAZIA
Z150;SLOVENIA
Z151;TURKEMENISTAN
Z152;KAZAKISTAN
Z153;BOSNIA ED ERZEGOVINA
Z154;RUSSIA
Z155;SLOVACCHIA
Z156;CECA REPUBBLICA
Z157;SERBIA E MONTENEGRO
Z158;SERBIA
Z159;MONTENEGRO
Z160;KOSSOVO
Z161;TERRITORI PALESTINESI
Z200;AFGHANISTAN
Z201;ARABIA MERIDIONALE FEDERAZIONE
Z202;ARABIA MERIDIONALE PROTETTORATO
Z203;ARABIA SAUDITA
Z204;BAHREIN
Z204;BAHREIN
Z205;BHUTAN
Z206;BIRMANIA
Z207;BRUNEI
Z207;BRUNEI
Z208;CAMBOGIA
Z209;CEYLON
Z209;SRI LANKA
Z210;CINA REPUBBLICA POPOLARE
Z211;CIPRO
Z212;COCOS (ISOLE)
Z213;COREA DEL SUD
Z214;COREA DEL NORD
Z215;COSTA DEI PIRATI
Z215;EMIRATI ARABI UNITI
Z216;FILIPPINE
Z217;FORMOSA
Z217;TAIWAN
Z218;GAZA (TERRITORIO DI)
Z219;GIAPPONE
Z220;GIORDANIA
Z221;HONG KONG
Z222;INDIA
Z223;INDONESIA
Z224;IRAN
Z225;IRAQ
Z226;ISRAELE
Z227;KUWAIT
Z228;LAOS
Z229;LIBANO
Z230;MALAYSIA
Z231;MACAO
Z232;MALDIVE
Z233;MONGOLIA
Z234;NEPAL
Z235;OMAN
Z236;PAKISTAN
Z237;QATAR
Z237;QATAR
Z238;RYUKYU (ISOLE)
Z239;SIKKIM
Z240;SIRIA
Z241;THAILANDIA
Z242;TIMOR (ISOLA)
Z242;TIMOR ORIENTALE
Z243;TURCHIA
Z244;VIETNAM DEL SUD
Z245;VIETNAM DEL NORD
Z246;YEMEN
Z247;MALAYSIA
Z248;SINGAPORE
Z249;BANGLADESH
Z250;YEMEN REPUBBLICA DEMOCRATICA POPOLARE
Z251;VIETNAM
Z252;ARMENIA
Z253;AZERBAIGIAN
Z254;GEORGIA
Z255;KAZAKISTAN
Z256;KIRGHIZISTAN
Z257;TAGIKISTAN
Z258;TURKEMENISTAN
Z259;UZBEKISTAN
Z300;AFRICA DEL SUD-OVEST
Z300;NAMIBIA
Z300;NAMIBIA
Z301;ALGERIA
Z302;ANGOLA
Z302;ANGOLA
Z303;BASUTOLAND-SUD AFRICA BRITANNICO
Z304;BECIUANIA-SUD AFRICA BRITANNICO
Z305;BURUNDI
Z306;CAMERUN
Z307;CAPO VERDE
Z307;CAPO VERDE (ISOLE)
Z308;CENTRAFRICANA REPUBBLICA
Z308;CENTROAFRICANA REPUBBLICA
